Time,Lon,Lat,,,,Position,Start Time,End Time,,Longitude,St.dev Lon,,Latitude,St.dev Lat
04:15.0,114.897702,4.97817283,,,,,,,,,,,,
04:17.0,114.8977022,4.9781725,,,,,,,,,,,,
04:18.0,114.8977023,4.97817233,,,,,,,,,,,,
04:19.0,114.8977025,4.97817217,,,,,,,,,,,,
04:20.0,114.8977025,4.97817183,,,,,,,,,,,,
04:22.0,114.8977027,4.97817133,,,,,,,,,,,,
04:23.0,114.8977028,4.97817083,,,,,,,,,,,,
04:25.0,114.897703,4.9781705,,,,,,,,,,,,
04:26.0,114.897703,4.9781705,,,,,,,,,,,,
04:27.0,114.8977032,4.9781705,,,,,,,,,,,,
04:28.0,114.8977032,4.97817033,,,,,,,,,,,,
04:29.0,114.8977032,4.97817017,,,,,,,,,,,,
04:31.0,114.8977035,4.97817017,,,,,,,,,,,,
04:32.0,114.8977037,4.97817017,,,,,,,,,,,,
04:33.0,114.8977038,4.97817033,,,,,,,,,,,,
04:35.0,114.8977042,4.97817033,,,,,,,,,,,,
04:36.0,114.8977043,4.97817033,,,,,,,,,,,,
04:37.0,114.8977043,4.97817017,,,,,,,,,,,,
04:39.0,114.8977045,4.97817017,,,,,,,,,,,,
04:41.0,114.8977047,4.97817017,,,,,,,,,,,,
04:43.0,114.8977048,4.97816983,,,,,,,,,,,,
04:44.0,114.8977048,4.97816983,,,,,,,,,,,,
04:46.0,114.8977048,4.97816967,,,,,,,,,,,,
04:49.0,114.897705,4.97816983,,,,,,,,,,,,
04:50.0,114.897705,4.97816983,,,,,,,,,,,,
04:52.0,114.8977052,4.97817,,,,,,,,,,,,
04:53.0,114.8977053,4.9781705,,,,,,,,,,,,
04:54.0,114.8977037,4.978168,,,,,,,,,,,,
04:55.0,114.8977032,4.97816533,,,,,,,,,,,,
04:58.0,114.8977138,4.97815667,,,,,,,,,,,,
05:00.0,114.8977248,4.97815533,,,,,,,,,,,,
05:01.0,114.897732,4.97815617,,,,,,,,,,,,
05:04.0,114.8977548,4.97817767,,,,,,,,,,,,
05:06.0,114.897767,4.9781955,,,,,,,,,,,,
05:07.0,114.8977735,4.97820367,,,,,,,,,,,,
05:08.0,114.8977805,4.9782125,,,,,,,,,,,,
05:10.0,114.8977955,4.97823,,,,,,,,,,,,
05:12.0,114.8978078,4.97824583,,,,,,,,,,,,
05:13.0,114.8978132,4.978251,,,,,,,,,,,,
05:14.0,114.8978167,4.978255,,,,,,,,,,,,
05:16.0,114.897827,4.978266,,,,,,,,,,,,
05:17.0,114.897833,4.9782745,,,,,,,,,,,,
05:18.0,114.8978395,4.978284,,,,,,,,,,,,
05:19.0,114.8978468,4.978292,,,,,,,,,,,,
05:20.0,114.8978533,4.97830017,,,,,,,,,,,,
05:22.0,114.8978677,4.97831667,,,,,,,,,,,,
05:24.0,114.8978835,4.97833233,,,,,,,,,,,,
05:25.0,114.897893,4.97834033,,,,,,,,,,,,
05:26.0,114.8979033,4.97834867,,,,,,,,,,,,
05:28.0,114.8979242,4.97836517,,,,,,,,,,,,
05:30.0,114.897943,4.978379,,,,,,,,,,,,
05:31.0,114.8979488,4.97838283,,,,,,,,,,,,
05:32.0,114.8979513,4.978384,,,,,,,,,,,,
05:33.0,114.8979522,4.9783855,,,,,,,,,,,,
05:34.0,114.8979528,4.97838633,,,,,,,,,,,,
05:35.0,114.8979522,4.978387,,,,,,,,,,,,
05:37.0,114.897952,4.978388,,,,,,,,,,,,
05:38.0,114.8979525,4.97838817,,,,,,,,,,,,
05:40.0,114.8979528,4.9783885,,,,,,,,,,,,
05:43.0,114.8979528,4.97838883,,,,,,,,,,,,
05:44.0,114.897953,4.978389,,,,,,,,,,,,
05:46.0,114.897953,4.978389,,,,,,,,,,,,
05:48.0,114.8979533,4.978389,,,,,,,,,,,,
05:50.0,114.8979535,4.978389,,,,,,,,,,,,
05:51.0,114.8979537,4.978389,,,,,,,,,,,,
05:52.0,114.8979538,4.978389,,,,,,,,,,,,
05:53.0,114.897954,4.978389,,,,,,,,,,,,
05:55.0,114.8979543,4.978389,,,,,,,,,,,,
05:57.0,114.8979545,4.978389,,,,,,,,,,,,
05:58.0,114.8979545,4.978389,,,,,,,,,,,,
05:59.0,114.8979547,4.978389,,,,,,,,,,,,
06:02.0,114.8979548,4.97838883,,,,,,,,,,,,
