Time,Lon,Lat,,,,,UTC
05:30.0,114.8978318,4.97827617,,,,,17:15.0
05:32.0,114.8978453,4.97829,,,,,17:17.0
05:34.0,114.8978613,4.97830483,,,,,17:19.0
05:36.0,114.897878,4.97831767,,,,,17:21.0
05:38.0,114.8978942,4.978334,,,,,17:23.0
05:40.0,114.897907,4.97835067,,,,,17:25.0
05:42.0,114.8979232,4.97836533,,,,,17:27.0
05:44.0,114.8979348,4.97837333,,,,,17:29.0
05:46.0,114.8979367,4.97836867,,,,,17:31.0
05:48.0,114.897936,4.97836617,,,,,17:33.0
05:50.0,114.8979368,4.9783665,,,,,17:35.0
05:52.0,114.8979378,4.97836733,,,,,17:37.0
05:54.0,114.8979387,4.97836783,,,,,17:39.0
05:56.0,114.8979393,4.97836833,,,,,17:41.0
05:58.0,114.8979402,4.978369,,,,,17:43.0
05:59.0,114.8979407,4.97836933,,,,,17:44.0
06:00.0,114.8979412,4.97836967,,,,,17:45.0
06:01.0,114.8979415,4.97836983,,,,,17:46.0
06:03.0,114.8979423,4.97837033,,,,,17:48.0
06:05.0,114.8979432,4.978371,,,,,17:50.0
06:06.0,114.8979437,4.97837117,,,,,17:51.0
06:07.0,114.897944,4.9783715,,,,,17:52.0
06:08.0,114.8979445,4.97837183,,,,,17:53.0
06:09.0,114.8979448,4.978372,,,,,17:54.0
06:10.0,114.8979452,4.97837233,,,,,17:55.0
06:11.0,114.8979457,4.9783725,,,,,17:56.0
06:12.0,114.897946,4.97837283,,,,,17:57.0
06:13.0,114.8979463,4.978373,,,,,17:58.0
06:14.0,114.8979465,4.97837317,,,,,17:59.0
06:16.0,114.8979472,4.9783735,,,,,18:01.0
06:17.0,114.8979475,4.97837367,,,,,18:02.0
06:19.0,114.897948,4.97837417,,,,,18:04.0
06:20.0,114.8979483,4.97837433,,,,,18:05.0
06:22.0,114.8979488,4.97837483,,,,,18:07.0
06:23.0,114.8979492,4.978375,,,,,18:08.0
06:25.0,114.8979498,4.97837517,,,,,18:10.0
06:29.0,114.8979508,4.97837583,,,,,18:14.0
06:31.0,114.8979513,4.97837617,,,,,18:16.0
06:32.0,114.8979517,4.97837633,,,,,18:17.0
06:35.0,114.8979523,4.97837683,,,,,18:20.0
06:37.0,114.8979528,4.97837717,,,,,18:22.0
06:38.0,114.8979532,4.97837733,,,,,18:23.0
06:40.0,114.8979537,4.97837767,,,,,18:25.0
06:41.0,114.8979538,4.97837783,,,,,18:26.0
06:42.0,114.8979542,4.978378,,,,,18:27.0
06:43.0,114.8979543,4.97837817,,,,,18:28.0
06:44.0,114.8979545,4.97837833,,,,,18:29.0
06:45.0,114.8979548,4.9783785,,,,,18:30.0
06:46.0,114.897955,4.97837867,,,,,18:31.0
06:47.0,114.8979552,4.97837883,,,,,18:32.0
06:48.0,114.8979555,4.978379,,,,,18:33.0
06:49.0,114.8979557,4.97837917,,,,,18:34.0
06:50.0,114.8979558,4.97837917,,,,,18:35.0
06:53.0,114.8979563,4.9783795,,,,,18:38.0
06:54.0,114.8979565,4.97837967,,,,,18:39.0
06:56.0,114.8979568,4.97838,,,,,18:41.0
06:58.0,114.8979573,4.97838,,,,,18:43.0
06:59.0,114.8979575,4.97838017,,,,,18:44.0
07:00.0,114.8979577,4.97838017,,,,,18:45.0
07:02.0,114.897958,4.97838033,,,,,18:47.0
07:04.0,114.8979582,4.97838033,,,,,18:49.0
07:06.0,114.8979583,4.9783805,,,,,18:51.0
07:07.0,114.8979585,4.97838067,,,,,18:52.0
07:08.0,114.8979587,4.97838067,,,,,18:53.0
07:09.0,114.8979587,4.97838067,,,,,18:54.0
07:10.0,114.8979588,4.97838067,,,,,18:55.0
07:11.0,114.8979588,4.97838067,,,,,18:56.0
07:12.0,114.897959,4.97838067,,,,,18:57.0
07:13.0,114.897959,4.97838067,,,,,18:58.0
07:14.0,114.8979592,4.97838067,,,,,18:59.0
07:15.0,114.8979593,4.97838083,,,,,19:00.0
07:17.0,114.8979595,4.97838083,,,,,19:02.0
07:19.0,114.8979597,4.978381,,,,,19:04.0
07:21.0,114.8979598,4.97838117,,,,,19:06.0
07:23.0,114.8979598,4.97838117,,,,,19:08.0
07:25.0,114.89796,4.97838117,,,,,19:10.0
07:27.0,114.89796,4.97838117,,,,,19:12.0
07:29.0,114.8979602,4.97838133,,,,,19:14.0
07:31.0,114.8979603,4.97838133,,,,,19:16.0
07:33.0,114.8979603,4.97838133,,,,,19:18.0
07:34.0,114.8979605,4.97838133,,,,,19:19.0
07:35.0,114.8979605,4.9783815,,,,,19:20.0
07:36.0,114.8979605,4.9783815,,,,,19:21.0
07:38.0,114.8979605,4.9783815,,,,,19:23.0
07:40.0,114.8979605,4.9783815,,,,,19:25.0
07:42.0,114.8979607,4.9783815,,,,,19:27.0
07:43.0,114.8979608,4.9783815,,,,,19:28.0
07:44.0,114.8979608,4.97838167,,,,,19:29.0
07:46.0,114.8979608,4.97838167,,,,,19:31.0
07:47.0,114.897961,4.97838183,,,,,19:32.0
07:48.0,114.897961,4.97838183,,,,,19:33.0
07:49.0,114.897961,4.97838183,,,,,19:34.0
07:50.0,114.897961,4.97838183,,,,,19:35.0
07:51.0,114.897961,4.97838183,,,,,19:36.0
07:52.0,114.897961,4.978382,,,,,19:37.0
07:53.0,114.897961,4.978382,,,,,19:38.0
07:55.0,114.8979612,4.97838217,,,,,19:40.0
07:56.0,114.8979612,4.97838217,,,,,19:41.0
