Index,UTC,Time,Lon,Lat,,Position,Start Time,End Time,,Longitude,St.dev Lon,,Latitude,St.dev Lat
371,54:01.0,08:56.0,114.8981062,4.97846533,,,,,,,,,,
372,54:02.0,08:57.0,114.8981062,4.97846533,,,,,,,,,,
373,54:03.0,08:58.0,114.8981062,4.97846533,,,,,,,,,,
374,54:04.0,08:59.0,114.8981063,4.97846533,,,,,,,,,,
375,54:05.0,09:00.0,114.8981063,4.97846533,,,,,,,,,,
376,54:07.0,09:02.0,114.8981063,4.9784655,,,,,,,,,,
377,54:08.0,09:03.0,114.8981063,4.9784655,,,,,,,,,,
378,54:09.0,09:04.0,114.8981065,4.9784655,,,,,,,,,,
379,54:10.0,09:05.0,114.8981065,4.9784655,,,,,,,,,,
380,54:12.0,09:07.0,114.8981065,4.97846567,,,,,,,,,,
381,54:13.0,09:08.0,114.8981065,4.97846567,,,,,,,,,,
382,54:14.0,09:09.0,114.8981065,4.97846567,,,,,,,,,,
383,54:15.0,09:10.0,114.8981065,4.97846567,,,,,,,,,,
384,54:17.0,09:12.0,114.8981067,4.97846567,,,,,,,,,,
385,54:19.0,09:14.0,114.8981067,4.97846567,,,,,,,,,,
