00:00.0,114.8973707,4.97826883,,,Position,Start Time,End Time,Column Equivalent Start Time,Column Equivalent End Time,,,,,,,,,,,
10:56.0,114.8980965,4.97846217,,,,,,,,,,,,,,,,,,
10:57.0,114.8980965,4.97846217,,,,,,,,,,,,,,,,,,
11:00.0,114.8980967,4.97846183,,,,,,,,,,,,,,,,,,
11:01.0,114.8980967,4.97846167,,,,,,,,,,,,,,,,,,
11:02.0,114.8980965,4.97846167,,,,,,,,,,,,,,,,,,
11:06.0,114.8980967,4.97846183,,,,,,,,,,,,,,,,,,
11:07.0,114.8980965,4.97846183,,,,,,,,,,,,,,,,,,
11:09.0,114.8980965,4.97846167,,,,,,,,,,,,,,,,,,
11:11.0,114.8980965,4.97846167,,,,,,,,,,,,,,,,,,
11:14.0,114.8980963,4.9784615,,,,,,,,,,,,,,,,,,
11:16.0,114.8980963,4.9784615,,,,,,,,,,,,,,,,,,
11:18.0,114.8980963,4.9784615,,,,,,,,,,,,,,,,,,
11:20.0,114.8980963,4.9784615,,,,,,,,,,,,,,,,,,
11:21.0,114.8980963,4.9784615,,,,,,,,,,,,,,,,,,
11:23.0,114.8980963,4.9784615,,,,,,,,,,,,,,,,,,
11:25.0,114.8980965,4.9784615,,,,,,,,,,,,,,,,,,
11:26.0,114.8980965,4.9784615,,,,,,,,,,,,,,,,,,
11:28.0,114.8980965,4.9784615,,,,,,,,,,,,,,,,,,
