Index,UTC,Time,Lon,Lat,,Position,Start Time,End Time,,Longitude,St.dev Lon,,Latitude,St.dev Lat
163,46:28.0,04:04.0,114.8977005,4.97817417,,,,,,,,,,
164,46:29.0,04:05.0,114.8977007,4.97817417,,,,,,,,,,
165,46:31.0,04:07.0,114.897701,4.97817367,,,,,,,,,,
166,46:32.0,04:08.0,114.8977012,4.9781735,,,,,,,,,,
167,46:33.0,04:09.0,114.8977013,4.9781735,,,,,,,,,,
168,46:35.0,04:11.0,114.8977015,4.97817333,,,,,,,,,,
169,46:36.0,04:12.0,114.8977017,4.97817317,,,,,,,,,,
170,46:37.0,04:13.0,114.8977018,4.97817317,,,,,,,,,,
171,46:38.0,04:14.0,114.8977018,4.97817283,,,,,,,,,,
172,46:39.0,04:15.0,114.897702,4.97817283,,,,,,,,,,
173,46:41.0,04:17.0,114.8977022,4.9781725,,,,,,,,,,
174,46:42.0,04:18.0,114.8977023,4.97817233,,,,,,,,,,
175,46:43.0,04:19.0,114.8977025,4.97817217,,,,,,,,,,
176,46:44.0,04:20.0,114.8977025,4.97817183,,,,,,,,,,
177,46:46.0,04:22.0,114.8977027,4.97817133,,,,,,,,,,
178,46:47.0,04:23.0,114.8977028,4.97817083,,,,,,,,,,
179,46:49.0,04:25.0,114.897703,4.9781705,,,,,,,,,,
180,46:50.0,04:26.0,114.897703,4.9781705,,,,,,,,,,
181,46:51.0,04:27.0,114.8977032,4.9781705,,,,,,,,,,
182,46:52.0,04:28.0,114.8977032,4.97817033,,,,,,,,,,
183,46:53.0,04:29.0,114.8977032,4.97817017,,,,,,,,,,
184,46:55.0,04:31.0,114.8977035,4.97817017,,,,,,,,,,
185,46:56.0,04:32.0,114.8977037,4.97817017,,,,,,,,,,
186,46:57.0,04:33.0,114.8977038,4.97817033,,,,,,,,,,
187,46:59.0,04:35.0,114.8977042,4.97817033,,,,,,,,,,
188,47:00.0,04:36.0,114.8977043,4.97817033,,,,,,,,,,
189,47:01.0,04:37.0,114.8977043,4.97817017,,,,,,,,,,
190,47:03.0,04:39.0,114.8977045,4.97817017,,,,,,,,,,
191,47:05.0,04:41.0,114.8977047,4.97817017,,,,,,,,,,
192,47:07.0,04:43.0,114.8977048,4.97816983,,,,,,,,,,
193,47:08.0,04:44.0,114.8977048,4.97816983,,,,,,,,,,
194,47:10.0,04:46.0,114.8977048,4.97816967,,,,,,,,,,
195,47:13.0,04:49.0,114.897705,4.97816983,,,,,,,,,,
196,47:14.0,04:50.0,114.897705,4.97816983,,,,,,,,,,
197,47:16.0,04:52.0,114.8977052,4.97817,,,,,,,,,,
198,47:17.0,04:53.0,114.8977053,4.9781705,,,,,,,,,,
199,47:18.0,04:54.0,114.8977037,4.978168,,,,,,,,,,
200,47:19.0,04:55.0,114.8977032,4.97816533,,,,,,,,,,
201,47:22.0,04:58.0,114.8977138,4.97815667,,,,,,,,,,
202,47:24.0,05:00.0,114.8977248,4.97815533,,,,,,,,,,
203,47:25.0,05:01.0,114.897732,4.97815617,,,,,,,,,,
204,47:28.0,05:04.0,114.8977548,4.97817767,,,,,,,,,,
205,47:30.0,05:06.0,114.897767,4.9781955,,,,,,,,,,
206,47:31.0,05:07.0,114.8977735,4.97820367,,,,,,,,,,
207,47:32.0,05:08.0,114.8977805,4.9782125,,,,,,,,,,
208,47:34.0,05:10.0,114.8977955,4.97823,,,,,,,,,,
209,47:36.0,05:12.0,114.8978078,4.97824583,,,,,,,,,,
210,47:37.0,05:13.0,114.8978132,4.978251,,,,,,,,,,
211,47:38.0,05:14.0,114.8978167,4.978255,,,,,,,,,,
212,47:40.0,05:16.0,114.897827,4.978266,,,,,,,,,,
213,47:41.0,05:17.0,114.897833,4.9782745,,,,,,,,,,
214,47:42.0,05:18.0,114.8978395,4.978284,,,,,,,,,,
215,47:43.0,05:19.0,114.8978468,4.978292,,,,,,,,,,
216,47:44.0,05:20.0,114.8978533,4.97830017,,,,,,,,,,
217,47:46.0,05:22.0,114.8978677,4.97831667,,,,,,,,,,
218,47:48.0,05:24.0,114.8978835,4.97833233,,,,,,,,,,
219,47:49.0,05:25.0,114.897893,4.97834033,,,,,,,,,,
220,47:50.0,05:26.0,114.8979033,4.97834867,,,,,,,,,,
221,47:52.0,05:28.0,114.8979242,4.97836517,,,,,,,,,,
222,47:54.0,05:30.0,114.897943,4.978379,,,,,,,,,,
223,47:55.0,05:31.0,114.8979488,4.97838283,,,,,,,,,,
224,47:56.0,05:32.0,114.8979513,4.978384,,,,,,,,,,
225,47:57.0,05:33.0,114.8979522,4.9783855,,,,,,,,,,
226,47:58.0,05:34.0,114.8979528,4.97838633,,,,,,,,,,
227,47:59.0,05:35.0,114.8979522,4.978387,,,,,,,,,,
228,48:01.0,05:37.0,114.897952,4.978388,,,,,,,,,,
229,48:02.0,05:38.0,114.8979525,4.97838817,,,,,,,,,,
230,48:04.0,05:40.0,114.8979528,4.9783885,,,,,,,,,,
231,48:07.0,05:43.0,114.8979528,4.97838883,,,,,,,,,,
232,48:08.0,05:44.0,114.897953,4.978389,,,,,,,,,,
233,48:10.0,05:46.0,114.897953,4.978389,,,,,,,,,,
234,48:12.0,05:48.0,114.8979533,4.978389,,,,,,,,,,
235,48:14.0,05:50.0,114.8979535,4.978389,,,,,,,,,,
236,48:15.0,05:51.0,114.8979537,4.978389,,,,,,,,,,
237,48:16.0,05:52.0,114.8979538,4.978389,,,,,,,,,,
238,48:17.0,05:53.0,114.897954,4.978389,,,,,,,,,,
239,48:19.0,05:55.0,114.8979543,4.978389,,,,,,,,,,
240,48:21.0,05:57.0,114.8979545,4.978389,,,,,,,,,,
241,48:22.0,05:58.0,114.8979545,4.978389,,,,,,,,,,
242,48:23.0,05:59.0,114.8979547,4.978389,,,,,,,,,,
243,48:26.0,06:02.0,114.8979548,4.97838883,,,,,,,,,,
244,48:28.0,06:04.0,114.897955,4.97838867,,,,,,,,,,
245,48:29.0,06:05.0,114.897955,4.97838867,,,,,,,,,,
246,48:31.0,06:07.0,114.8979552,4.9783885,,,,,,,,,,
247,48:32.0,06:08.0,114.8979552,4.9783885,,,,,,,,,,
248,48:34.0,06:10.0,114.8979553,4.9783885,,,,,,,,,,
249,48:35.0,06:11.0,114.8979555,4.97838833,,,,,,,,,,
250,48:37.0,06:13.0,114.8979557,4.97838833,,,,,,,,,,
251,48:39.0,06:15.0,114.8979558,4.97838817,,,,,,,,,,
252,48:41.0,06:17.0,114.897956,4.978388,,,,,,,,,,
253,48:42.0,06:18.0,114.8979562,4.978388,,,,,,,,,,
254,48:43.0,06:19.0,114.8979562,4.978388,,,,,,,,,,
255,48:44.0,06:20.0,114.8979563,4.97838783,,,,,,,,,,
256,48:45.0,06:21.0,114.8979563,4.97838783,,,,,,,,,,
257,48:46.0,06:22.0,114.8979565,4.97838767,,,,,,,,,,
258,48:47.0,06:23.0,114.8979567,4.97838767,,,,,,,,,,
259,48:48.0,06:24.0,114.8979567,4.9783875,,,,,,,,,,
260,48:49.0,06:25.0,114.8979568,4.9783875,,,,,,,,,,
261,48:50.0,06:26.0,114.8979572,4.9783875,,,,,,,,,,
262,48:52.0,06:28.0,114.8979575,4.97838733,,,,,,,,,,
263,48:54.0,06:30.0,114.8979577,4.97838717,,,,,,,,,,
264,48:55.0,06:31.0,114.8979577,4.97838717,,,,,,,,,,
265,48:57.0,06:33.0,114.897958,4.978387,,,,,,,,,,
266,48:59.0,06:35.0,114.8979582,4.97838683,,,,,,,,,,
267,49:01.0,06:37.0,114.8979585,4.97838683,,,,,,,,,,
268,49:02.0,06:38.0,114.8979587,4.97838683,,,,,,,,,,
269,49:03.0,06:39.0,114.8979588,4.97838683,,,,,,,,,,
270,49:05.0,06:41.0,114.8979592,4.97838683,,,,,,,,,,
271,49:06.0,06:42.0,114.8979593,4.97838683,,,,,,,,,,
272,49:07.0,06:43.0,114.8979595,4.97838683,,,,,,,,,,
273,49:08.0,06:44.0,114.8979597,4.97838683,,,,,,,,,,
274,49:09.0,06:45.0,114.8979598,4.97838667,,,,,,,,,,
275,49:10.0,06:46.0,114.8979598,4.97838667,,,,,,,,,,
276,49:11.0,06:47.0,114.89796,4.97838667,,,,,,,,,,
277,49:13.0,06:49.0,114.8979602,4.97838667,,,,,,,,,,
278,49:15.0,06:51.0,114.8979605,4.97838683,,,,,,,,,,
279,49:16.0,06:52.0,114.8979605,4.978387,,,,,,,,,,
280,49:18.0,06:54.0,114.8979607,4.978387,,,,,,,,,,
281,49:20.0,06:56.0,114.8979608,4.978387,,,,,,,,,,
282,49:22.0,06:58.0,114.897961,4.97838717,,,,,,,,,,
283,49:23.0,06:59.0,114.897961,4.97838717,,,,,,,,,,
284,49:25.0,07:01.0,114.8979612,4.97838717,,,,,,,,,,
285,49:26.0,07:02.0,114.8979613,4.97838733,,,,,,,,,,
286,49:28.0,07:04.0,114.8979613,4.97838733,,,,,,,,,,
287,49:29.0,07:05.0,114.8979613,4.97838733,,,,,,,,,,
288,49:31.0,07:07.0,114.8979612,4.9783875,,,,,,,,,,
289,49:33.0,07:09.0,114.8979613,4.97838767,,,,,,,,,,
290,49:35.0,07:11.0,114.8979613,4.97838783,,,,,,,,,,
291,49:37.0,07:13.0,114.8979615,4.978388,,,,,,,,,,
292,49:38.0,07:14.0,114.8979615,4.978388,,,,,,,,,,
293,49:40.0,07:16.0,114.8979613,4.97838833,,,,,,,,,,
294,49:42.0,07:18.0,114.8979612,4.97838867,,,,,,,,,,
295,49:43.0,07:19.0,114.8979612,4.97838883,,,,,,,,,,
296,49:45.0,07:21.0,114.897961,4.97838917,,,,,,,,,,
297,49:47.0,07:23.0,114.897961,4.9783895,,,,,,,,,,
298,49:48.0,07:24.0,114.897961,4.97838967,,,,,,,,,,
299,49:49.0,07:25.0,114.897961,4.97838967,,,,,,,,,,
300,49:50.0,07:26.0,114.897961,4.97838967,,,,,,,,,,
301,49:51.0,07:27.0,114.8979608,4.97838967,,,,,,,,,,
302,49:53.0,07:29.0,114.8979608,4.97838967,,,,,,,,,,
303,49:54.0,07:30.0,114.897961,4.97838967,,,,,,,,,,
304,49:55.0,07:31.0,114.897961,4.9783895,,,,,,,,,,
305,49:56.0,07:32.0,114.8979612,4.97838933,,,,,,,,,,
306,49:58.0,07:34.0,114.8979612,4.97838917,,,,,,,,,,
307,49:59.0,07:35.0,114.8979612,4.97838917,,,,,,,,,,
308,50:00.0,07:36.0,114.8979613,4.978389,,,,,,,,,,
309,50:01.0,07:37.0,114.8979613,4.978389,,,,,,,,,,
310,50:03.0,07:39.0,114.8979613,4.978389,,,,,,,,,,
311,50:04.0,07:40.0,114.8979615,4.97838917,,,,,,,,,,
312,50:05.0,07:41.0,114.8979615,4.97838917,,,,,,,,,,
313,50:07.0,07:43.0,114.8979615,4.97838917,,,,,,,,,,
314,50:09.0,07:45.0,114.8979615,4.97838917,,,,,,,,,,
315,50:11.0,07:47.0,114.8979615,4.97838917,,,,,,,,,,
