Index,UTC,Lon,Lat
143,06:02:49.000 06/07/2023,114.89764100,4.97817400
144,06:02:50.000 06/07/2023,114.89764300,4.97817333
145,06:02:52.000 06/07/2023,114.89764767,4.97817250
146,06:02:53.000 06/07/2023,114.89764967,4.97817200
147,06:02:54.000 06/07/2023,114.89765167,4.97817167
148,06:02:55.000 06/07/2023,114.89765350,4.97817133
149,06:02:56.000 06/07/2023,114.89765533,4.97817117
150,06:02:57.000 06/07/2023,114.89765700,4.97817100
151,06:02:59.000 06/07/2023,114.89766017,4.97817050
152,06:03:01.000 06/07/2023,114.89766300,4.97816983
153,06:03:02.000 06/07/2023,114.89766417,4.97816950
154,06:03:03.000 06/07/2023,114.89766533,4.97816950
155,06:03:04.000 06/07/2023,114.89766650,4.97816950
156,06:03:06.000 06/07/2023,114.89766850,4.97816867
157,06:03:07.000 06/07/2023,114.89766967,4.97816867
158,06:03:08.000 06/07/2023,114.89767067,4.97816883
159,06:03:10.000 06/07/2023,114.89767233,4.97816833
160,06:03:12.000 06/07/2023,114.89767400,4.97816800
161,06:03:13.000 06/07/2023,114.89767467,4.97816767
162,06:03:14.000 06/07/2023,114.89767517,4.97816767
163,06:03:16.000 06/07/2023,114.89767650,4.97816717
164,06:03:18.000 06/07/2023,114.89767783,4.97816650
165,06:03:19.000 06/07/2023,114.89767850,4.97816617
166,06:03:20.000 06/07/2023,114.89767900,4.97816600
167,06:03:22.000 06/07/2023,114.89768000,4.97816567
168,06:03:24.000 06/07/2023,114.89768117,4.97816500
169,06:03:25.000 06/07/2023,114.89768150,4.97816483
170,06:03:27.000 06/07/2023,114.89768250,4.97816483
171,06:03:29.000 06/07/2023,114.89768333,4.97816450
172,06:03:31.000 06/07/2023,114.89768383,4.97816433
173,06:03:32.000 06/07/2023,114.89768433,4.97816433
174,06:03:34.000 06/07/2023,114.89768500,4.97816383
175,06:03:35.000 06/07/2023,114.89768533,4.97816367
176,06:03:36.000 06/07/2023,114.89768567,4.97816367
177,06:03:38.000 06/07/2023,114.89768600,4.97816333
178,06:03:40.000 06/07/2023,114.89768633,4.97816283
179,06:03:42.000 06/07/2023,114.89768683,4.97816217
180,06:03:44.000 06/07/2023,114.89768717,4.97816167
181,06:03:46.000 06/07/2023,114.89768733,4.97816067
182,06:03:48.000 06/07/2023,114.89768750,4.97816000
183,06:03:50.000 06/07/2023,114.89768817,4.97816000
184,06:03:52.000 06/07/2023,114.89768867,4.97816017
185,06:03:53.000 06/07/2023,114.89768900,4.97816017
186,06:03:54.000 06/07/2023,114.89768917,4.97816017
187,06:03:55.000 06/07/2023,114.89768933,4.97816000
188,06:03:56.000 06/07/2023,114.89768933,4.97816000
189,06:03:58.000 06/07/2023,114.89768967,4.97816050
190,06:03:59.000 06/07/2023,114.89769000,4.97816067
191,06:04:00.000 06/07/2023,114.89769017,4.97816083
192,06:04:01.000 06/07/2023,114.89769033,4.97816117
193,06:04:02.000 06/07/2023,114.89769050,4.97816117
194,06:04:03.000 06/07/2023,114.89769067,4.97816117
195,06:04:04.000 06/07/2023,114.89769100,4.97816117
196,06:04:05.000 06/07/2023,114.89769133,4.97816117
197,06:04:06.000 06/07/2023,114.89769133,4.97816133
198,06:04:07.000 06/07/2023,114.89769150,4.97816167
199,06:04:08.000 06/07/2023,114.89769167,4.97816183
200,06:04:09.000 06/07/2023,114.89769200,4.97816200
201,06:04:10.000 06/07/2023,114.89769217,4.97816250
202,06:04:11.000 06/07/2023,114.89769233,4.97816300
203,06:04:12.000 06/07/2023,114.89769250,4.97816333
204,06:04:13.000 06/07/2023,114.89769267,4.97816367
205,06:04:14.000 06/07/2023,114.89769267,4.97816400
206,06:04:15.000 06/07/2023,114.89769267,4.97816467
207,06:04:16.000 06/07/2023,114.89769300,4.97816500
208,06:04:17.000 06/07/2023,114.89769317,4.97816500
209,06:04:18.000 06/07/2023,114.89769333,4.97816550
210,06:04:19.000 06/07/2023,114.89769333,4.97816567
211,06:04:20.000 06/07/2023,114.89769333,4.97816600
212,06:04:21.000 06/07/2023,114.89769333,4.97816617
213,06:04:22.000 06/07/2023,114.89769333,4.97816633
214,06:04:23.000 06/07/2023,114.89769350,4.97816667
215,06:04:24.000 06/07/2023,114.89769383,4.97816683
216,06:04:25.000 06/07/2023,114.89769433,4.97816717
217,06:04:26.000 06/07/2023,114.89769450,4.97816767
218,06:04:27.000 06/07/2023,114.89769500,4.97816783
219,06:04:29.000 06/07/2023,114.89769550,4.97816817
220,06:04:30.000 06/07/2023,114.89769583,4.97816833
221,06:04:31.000 06/07/2023,114.89769600,4.97816867
222,06:04:32.000 06/07/2023,114.89769617,4.97816883
223,06:04:34.000 06/07/2023,114.89769650,4.97816900
224,06:04:35.000 06/07/2023,114.89769667,4.97816933
225,06:04:36.000 06/07/2023,114.89769683,4.97816950
226,06:04:37.000 06/07/2023,114.89769683,4.97816950
227,06:04:40.000 06/07/2023,114.89769717,4.97817017
228,06:04:41.000 06/07/2023,114.89769733,4.97817033
229,06:04:42.000 06/07/2023,114.89769767,4.97817033
230,06:04:44.000 06/07/2023,114.89769783,4.97817067
231,06:04:46.000 06/07/2023,114.89769783,4.97817067
232,06:04:47.000 06/07/2023,114.89769800,4.97817117
233,06:04:49.000 06/07/2023,114.89769833,4.97817117
234,06:04:51.000 06/07/2023,114.89769817,4.97817167
235,06:04:52.000 06/07/2023,114.89769700,4.97817233
236,06:04:53.000 06/07/2023,114.89769550,4.97817217
237,06:04:54.000 06/07/2023,114.89769650,4.97817133
238,06:04:55.000 06/07/2023,114.89769700,4.97817150
239,06:04:56.000 06/07/2023,114.89770050,4.97816950
240,06:04:57.000 06/07/2023,114.89770583,4.97816517
241,06:04:58.000 06/07/2023,114.89770967,4.97816233
242,06:04:59.000 06/07/2023,114.89771367,4.97816033
243,06:05:00.000 06/07/2023,114.89771933,4.97815950
244,06:05:01.000 06/07/2023,114.89772350,4.97815933
245,06:05:02.000 06/07/2023,114.89772750,4.97815917
246,06:05:03.000 06/07/2023,114.89773300,4.97816100
247,06:05:04.000 06/07/2023,114.89773900,4.97816500
248,06:05:05.000 06/07/2023,114.89774450,4.97817067
249,06:05:06.000 06/07/2023,114.89774967,4.97817767
250,06:05:07.000 06/07/2023,114.89775483,4.97818450
251,06:05:08.000 06/07/2023,114.89775983,4.97819183
252,06:05:09.000 06/07/2023,114.89776533,4.97819950
253,06:05:10.000 06/07/2023,114.89777050,4.97820667
254,06:05:11.000 06/07/2023,114.89777550,4.97821317
255,06:05:12.000 06/07/2023,114.89777967,4.97821967
256,06:05:13.000 06/07/2023,114.89778383,4.97822617
257,06:05:14.000 06/07/2023,114.89778850,4.97823317
258,06:05:15.000 06/07/2023,114.89779183,4.97823967
259,06:05:16.000 06/07/2023,114.89779000,4.97824500
260,06:05:17.000 06/07/2023,114.89778917,4.97825050
261,06:05:18.000 06/07/2023,114.89779200,4.97825600
262,06:05:19.000 06/07/2023,114.89779700,4.97826267
263,06:05:20.000 06/07/2023,114.89780333,4.97826967
264,06:05:22.000 06/07/2023,114.89781350,4.97828233
265,06:05:23.000 06/07/2023,114.89781883,4.97828917
266,06:05:25.000 06/07/2023,114.89783100,4.97830217
267,06:05:27.000 06/07/2023,114.89784067,4.97831750
268,06:05:28.000 06/07/2023,114.89784617,4.97832633
269,06:05:29.000 06/07/2023,114.89785400,4.97833450
270,06:05:30.000 06/07/2023,114.89786133,4.97834183
271,06:05:32.000 06/07/2023,114.89787500,4.97835333
272,06:05:34.000 06/07/2023,114.89789050,4.97836567
273,06:05:35.000 06/07/2023,114.89789900,4.97837133
274,06:05:36.000 06/07/2023,114.89790400,4.97837317
